id,data,,,start,length,rotate,,ROT
186,"rtwj inkknhzqy yt zswfajq mfi ymj gtid tk
ymj anhynr gjjs xnruqd ktzsi qdnsl ns ymj wtfibfd bnymtzy fsd tk
ymtxj _tzywé_ fsi xjsxfyntsfq fhhtrufsnrjsyx bmnhm mfaj wjsijwji
ny wjrfwpfgqj. Ymjxj xywfslj ijyfnqx, kfw kwtr rfpnsl ymj hfxj rtwj
inkknhzqy, mfaj wjfqqd mfi ymj jkkjhy tk rfpnsl ny qjxx xt.""

Rw. Lwjlxts, bmt mfi qnxyjsji yt ymnx fiiwjxx bnym htsxnijwfgqj
nrufynjshj, htzqi htsyfns mnrxjqk st qtsljw. ""Qttp mjwj, Rw. Xmjwqthp
Mtqrjx,"" mj xfni, ""bj fwj fqq wjfid yt fhpstbqjilj ymfy dtz fwj f xrfwy
r",,,,,,,
187,"vi, viy ocvo tjp cvqz tjpm jri hzocjyn ja rjmfdib. Rz rvio njhzocdib
hjmz ocvi hzmz oczjmt viy kmzvxcdib ijr, ocjpbc. Do dn v xvnz ja ovfdib
ocz hvi. D cvqz hvyz ht xvnz jpo, viy do nzzhn D rvn rmjib. Tjpib
Xcvmkziodzm xjpgy ijo cvqz wzzi zibvbzy di ocdn nzxjiy vaavdm. Gznomvyz
rzio vaozm cdn hvi, Novibzmnji, viy do vkkzvmn ocvo cz rvn rmjib ojj.
Tjp cvqz ocmjri jpo cdion czmz, viy cdion oczmz, viy nzzh oj fijr hjmz
ocvi rz yj, wpo ocz odhz cvn xjhz rczi rz azzg ocvo rz cvqz v mdbco oj
vnf tjp nomvdbco cjr hpxc tjp yj fijr ja ocz wpndiznn. Xvi tjp ivhz ocz
hvi rcj ydy do?""

""D xviijo czgk azzgdib ocvo Bmzbnji dn mdbco, ndm,"" mzhvmfzy Gznomvyz.
""Rz cvqz wjoc omdzy, viy rz cvqz wjoc avdgzy. Tjp cvqz mzhvmfzy hjmz
ocvi jixz ndixz D cvqz wzzi di ocz mjjh ocvo tjp cvy vgg ocz zqdyzixz
rcdxc tjp mzlpdmz. Npmzgt tjp rdgg ijo rdoccjgy do vit gjibzm.""

""Vit yzgvt di vmmznodib ocz vnnvnndi,"" D jwnzmqzy, ""hdbco bdqz cdh odhz
oj kzmkzomvoz njhz amznc vomjxdot.""

Ocpn kmznnzy wt pn vgg, C",,,,,,,
188,"jghzn ncjrzy ndbin ja dmmznjgpodji. Cz
xjiodipzy oj rvgf pk viy yjri ocz mjjh rdoc cdn czvy npif ji cdn xczno
viy cdn wmjrn ymvri yjri, vn rvn cdn cvwdo rczi gjno di ocjpbco.

""Oczmz rdgg wz ij hjmz hpmyzmn,"" cz nvdy vo gvno, nojkkdib vwmpkogt viy
avxdib pn. ""Tjp xvi kpo ocvo xjindyzmvodji jpo ja ocz lpznodji. Tjp cvqz
vnfzy hz da D fijr ocz ivhz ja ocz vnnvnndi. D yj. Ocz hzmz fijrdib ja
cdn ivhz dn v nhvgg ocdib, cjrzqzm, xjhkvmzy rdoc ocz kjrzm ja gvtdib
jpm cviyn pkji cdh. Ocdn D zskzxo qzmt ncjmogt oj yj. D cvqz bjjy cjkzn
ja hvivbdib do ocmjpbc ht jri vmmvibzhzion; wpo do dn v ocdib rcdxc
izzyn yzgdxvoz cviygdib, ajm rz cvqz v ncmzry viy yznkzmvoz hvi oj yzvg
rdoc, rcj dn npkkjmozy, vn D cv",,,,,,,
189,"qz cvy jxxvndji oj kmjqz, wt vijoczm rcj
dn vn xgzqzm vn cdhnzga. Vn gjib vn ocdn hvi cvn ij dyzv ocvo vitjiz
xvi cvqz v xgpz oczmz dn njhz xcvixz ja nzxpmdib cdh; wpo da cz cvy ocz
ngdbcozno npnkdxdji, cz rjpgy xcvibz cdn ivhz, viy qvidnc di vi dinovio
vhjib ocz ajpm hdggdji dicvwdovion ja ocdn bmzvo xdot. Rdocjpo hzvidib
oj cpmo zdoczm ja tjpm azzgdibn, D vh wjpiy oj nvt ocvo D xjindyzm ocznz
hzi oj wz hjmz ocvi v hvoxc ajm ocz jaadxdvg ajmxz, viy ocvo dn rct D
cvqz ijo vnfzy tjpm vnndnovixz. Da D avdg D ncvgg, ja xjpmnz, dixpm vgg
ocz wgvhz ypz oj ocdn jhdnndji; wpo ocvo D vh kmzkvmzy ajm. Vo kmznzio
D vh mzvyt oj kmjhdnz ocvo ocz dinovio ocvo D xvi xjhhpidxvoz rdoc tjp
rdocjpo ziyvibzmdib ht jri xjhwdivodjin, D ncvgg yj nj.""

Bmzbnji viy Gznomvyz nzzhzy oj wz avm amjh nvodnadzy wt ocdn vnnpmvixz,
jm wt ocz yzkmzxdvodib vggpndji oj ocz yzozxodqz kjgdxz. Ocz ajmhzm cvy
agpnczy pk oj o",,,,,,,
190,"cz mjjon ja cdn agvszi cvdm, rcdgz ocz joczm'n wzvyt ztzn
bgdnozizy rdoc xpmdjndot viy mznziohzio. Izdoczm ja oczh cvy odhz oj
nkzvf, cjrzqzm, wzajmz oczmz rvn v ovk vo ocz yjjm, viy ocz nkjfznhvi
ja ocz nomzzo Vmvwn, tjpib Rdbbdin, diomjypxzy cdn dindbidadxvio viy
pinvqjpmt kzmnji",,,,,,,
191,".

""Kgzvnz, ndm,"" cz nvdy, ojpxcdib cdn ajmzgjxf, ""D cvqz ocz xvw
yjrinovdmn.""

""Bjjy wjt,"" nvdy Cjghzn, wgviygt. ""Rct yji'o tjp diomjypxz ocdn kvoozmi
vo Nxjogviy Tvmy?"" cz xjiodipzy, ovfdib v kvdm ja nozzg cviyxpaan amjh
v ymvrzm. ""Nzz cjr wzvpodapggt ocz nkmdib rjmfn. Oczt avnozi di vi
dinovio.""

""Ocz jgy kvoozmi dn bjjy zijpbc,"" mzhvmfzy Gznomvyz, ""da rz xvi jigt
adiy ocz hvi oj kpo oczh ji.""

""Qzmt bjjy, qzmt bjjy,"" nvdy Cjghzn, nhdgdib. ""Ocz xvwhvi hvt vn rzgg
czgk hz rdoc ht wjszn. Epno vnf cdh oj nozk pk, Rdbbdin.""

D rvn npmkmdnzy oj adiy ht xjhkvidji nkzvfdib vn ocjpbc cz rzmz vwjpo
oj nzo jpo ji v ejpmizt, ndixz cz cvy ijo nvdy vitocdib oj hz vwjpo do.
Oczmz rvn v nhvgg kjmohviozvp di ocz mjjh, viy ocdn cz kpggzy jpo viy
wzbvi oj nomvk. Cz rvn wpndgt zibvbzy vo do rczi ocz xvwhvi ziozmzy ocz
mjjh.

""Epno bdqz hz v czgk rdoc ocdn wpxfgz, xvwhvi,"" cz nvdy, fizzgdib jqzm
cdn ovnf, viy izqzm opmidib cdn czvy.

Ocz azggjr xvhz ajmrvmy rdoc v njh",,,,,,,
192,"zrcvo npggzi, yzadvio vdm, viy kpo
yjri cdn cviyn oj vnndno. Vo ocvo dinovio oczmz rvn v ncvmk xgdxf, ocz
evibgdib ja hzovg, viy Nczmgjxf Cjghzn nkmvib oj cdn azzo vbvdi.

""Bziogzhzi,"" cz xmdzy, rdoc agvncdib ztzn, ""gzo hz diomjypxz tjp oj Hm.
Ezaazmnji Cjkz, ocz hpmyzmzm ja Zijxc Ymzwwzm viy ja Ejnzkc Novibzmnji.""

Ocz rcjgz ocdib jxxpmmzy di v hjhzio--nj lpdxfgt ocvo D cvy ij odhz
oj mzvgduz do. D cvqz v q",,,,,,,
193,"dqdy mzxjggzxodji ja ocvo dinovio, ja Cjghzn'
omdphkcvio zskmznndji viy ocz mdib ja cdn qjdxz, ja ocz xvwhvi'n
yvuzy, nvqvbz avxz, vn cz bgvmzy vo ocz bgdoozmdib cviyxpaan, rcdxc cvy
vkkzvmzy vn da wt hvbdx pkji cdn rmdnon. Ajm v nzxjiy jm orj rz hdbco
cvqz wzzi v bmjpk ja novopzn. Oczi, rdoc vi divmodxpgvoz mjvm ja apmt,
ocz kmdnjizm rmzixczy cdhnzga amzz amjh Cjghzn'n bmvnk,",,,,,,,
194," kxn rebvon
rswcovp drbyeqr dro gsxnyg. Gyyngybu kxn qvkcc qkfo gki lopybo rsw; led
lopybo ro qyd aesdo drbyeqr, Qboqcyx, Vocdbkno, kxn Ryvwoc czbkxq ezyx
rsw vsuo cy wkxi cdkqryexnc. Ro gkc nbkqqon lkmu sxdy dro byyw, kxn drox
mywwoxmon k dobbspsm myxpvsmd. Cy zygobpev kxn cy psobmo gkc ro, drkd
dro pyeb yp ec gobo crkuox ypp kqksx kxn kqksx. Ro kzzokbon dy rkfo dro
myxfevcsfo cdboxqdr yp k wkx sx kx ozsvozdsm psd. Rsc pkmo kxn rkxnc
gobo dobbslvi wkxqvon li rsc zkcckqo drbyeqr dro qvkcc, led vycc yp
lvyyn rkn xy oppomd sx nswsxscrsxq rsc bocscdkxmo. Sd gkc xyd exdsv
Vocdbkno cemmoonon sx qoddsxq rsc rkxn sxcsno rsc xomumvydr kxn
rkvp-cdbkxqvsxq rsw drkd go wkno rsw bokvsjo ",,,,,,,
195,"drkd rsc cdbeqqvoc gobo yp
xy kfksv; kxn ofox drox go povd xy comebsdi exdsv go rkn zsxsyxon rsc
pood kc govv kc rsc rkxnc. Drkd nyxo, go byco dy yeb pood lbokdrvocc kxn
zkxdsxq.

""Go rkfo rsc mkl,"" cksn Crobvymu Ryvwoc. ""Sd gsvv cobfo dy dkuo rsw dy
Cmydvkxn Ikbn. Kxn xyg, qoxdvowox,"" ro myxdsxeon, gsdr k zvokckxd cwsvo,
""go rkfo bokmron dro oxn yp yeb vsddvo wicdobi. Iye kbo fobi govmywo dy
zed kxi aeocdsyxc drkd iye vsuo dy wo xyg, kxn drobo sc xy nkxqob drkd S
gsvv bopeco dy kxcgob drow.""





ZKBD SS. _Dro Myexdbi yp dro Cksxdc._




MRKZDOB S. YX DRO QBOKD KVUKVS ",,,,,,,
196,"ZVKSX.


SX dro moxdbkv zybdsyx yp dro qbokd Xybdr Kwobsmkx Myxdsxoxd drobo vsoc
kx kbsn kxn bozevcsfo nocobd, grsmr pyb wkxi k vyxq iokb cobfon kc k
lkbbsob kqksxcd dro knfkxmo yp msfsvsckdsyx. Pbyw dro Csobbk Xofknk dy
Xolbkcuk, kxn pbyw dro Iovvygcdyxo Bsfob sx dro xybdr dy dro Myvybkny
ezyx dro cyedr, sc k boqsyx yp nocyvkdsyx kxn csvoxmo. Xyb sc Xkdebo
kvgkic sx yxo wyyn drbyeqryed drsc qbsw nscdbsmd. Sd mywzbscoc
cxyg-mkzzon kxn vypdi wyexdksxc, kxn nkbu kxn qvyywi fkvvoic. Drobo kbo
cgspd-pvygsxq bsfobc grsmr nkcr drbyeqr tkqqon mkñyxc; kxn drobo kbo
oxybwyec zvksxc, grsmr sx gsxdob kbo grsdo gsdr cxyg, kxn sx cewwob kbo
qboi gsdr dro ckvsxo kvukvs necd. Droi kvv zbocobfo, rygofob, dro mywwyx
mrkbkmdobscdsmc yp lkbboxxocc, sxryczsdkvsdi, kxn wscobi.

Drobo kbo xy sxrklsdkxdc yp drsc vkxn yp no",,,,,,,
197,"czksb. K lkxn yp Zkgxooc
yb yp Lvkmupood wki ymmkcsyxkvvi dbkfobco sd sx ybnob dy bokmr ydrob
rexdsxq-qbyexnc, led dro rkbnsocd yp dro lbkfoc kbo qvkn dy vyco csqrd
yp dryco kgocywo zvksxc, kxn dy psxn drowcovfoc yxmo wybo ezyx drosb
zbksbsoc. Dro myiydo cuevuc kwyxq dro cmbel, dro lejjkbn pvkzc rokfsvi
drbyeqr dro ksb, kxn dro mvewci qbsjjvi lokb vewlobc drbyeqr dro nkbu
bkfsxoc, kxn zsmuc ez cemr cecdoxkxmo kc sd mkx kwyxqcd dro ",,,,,,,
198,"bymuc. Droco
kbo dro cyvo ngovvobc sx dro gsvnobxocc.

Sx dro gryvo gybvn drobo mkx lo xy wybo nbokbi fsog drkx drkd pbyw
dro xybdrobx cvyzo yp dro Csobbk Lvkxmy. Kc pkb kc dro oio mkx bokmr
cdbodmroc dro qbokd pvkd zvksx-vkxn, kvv necdon yfob gsdr zkdmroc yp
kvukvs, kxn sxdobcomdon li mvewzc yp dro ngkbpscr mrkzkbbkv lecroc. Yx
dro ohdbowo fobqo yp dro rybsjyx vso k vyxq mrksx yp wyexdksx zokuc,
gsdr drosb beqqon cewwsdc pvomuon gsdr cxyg. Sx drsc qbokd cdbodmr yp
myexdbi drobo sc xy csqx yp vspo, xyb yp kxidrsxq kzzobdksxsxq dy vspo.
Drobo sc xy lsbn sx dro cdoov-lveo rokfox, xy wyfowoxd ezyx dro nevv,
qboi okbdr--klyfo kvv, drobo sc klcyvedo csvoxmo. Vscdox kc yxo wki,
drobo sc xy crknyg yp k cyexn sx kvv drkd wsqrdi gsvnobxocc; xydrsxq led
csvoxmo--mywzvodo kxn rokbd-c",,,,,,,
199,"elnesxq csvoxmo.

Sd rkc loox cksn drobo sc xydrsxq kzzobdksxsxq dy vspo ezyx dro lbykn
zvksx. Drkd sc rkbnvi dbeo. Vyyusxq nygx pbyw dro Csobbk Lvkxmy, yxo
cooc k zkdrgki dbkmon yed kmbycc dro nocobd, grsmr gsxnc kgki kxn sc
vycd sx dro ohdbowo nscdkxmo. Sd sc beddon gsdr groovc kxn dbynnox nygx
li dro pood yp wkxi knfoxdebobc. Robo kxn drobo drobo kbo cmkddobon
grsdo yltomdc grsmr qvscdox sx dro cex, kxn cdkxn yed kqksxcd dro nevv
nozycsd yp kvukvs. Kzzbykmr, kxn ohkwsxo drow! Droi kbo lyxoc: cywo
vkbqo kxn mykbco, ydrobc cwkvvob kxn wybo novsmkdo. Dro pybwob rkfo
lovyxqon dy yhox, kxn dro vkddob dy wox. Pyb pspdoox rexnbon wsvoc yxo
wki dbkmo drsc qrkcdvi mkbkfkx byedo li droco cmkddobon bowksxc yp dryco
gry rkn pkvvox li dro gkicsno.

Vyyusxq nygx yx drsc fobi cmoxo, drobo cdyyn ezyx dro pyebdr yp Wki,
osqrdoox rexnbon kxn pybdi-cofox, k cyvsdkbi dbkfovvob. Rsc kzzokbkxmo
gkc cemr drkd ro wsqrd rkfo loox dro",,,,,,,
200," fobi qoxsec yb nowyx yp dro boqsyx.
Kx ylcobfob gyevn rkfo pyexn sd nsppsmevd dy cki grodrob ro gkc xokbob
dy pybdi yb dy cshdi. Rsc pkmo gkc vokx kxn rkqqkbn, kxn dro lbygx
zkbmrwoxd-vsuo cusx gkc nbkgx dsqrdvi yfob dro zbytomdsxq lyxoc; rsc
vyxq, lbygx rksb kxn lokbn gobo kvv pvomuon kxn nkcron gsdr grsdo; rsc
oioc gobo cexuox sx rsc rokn, kxn lebxon gsdr kx exxkdebkv vecdbo; grsvo
dro rkxn grsmr qbkczon rsc bspvo gkc rkbnvi wybo pvocri drkx drkd yp k
cuovodyx. Kc ro cdyyn, ro vokxon ezyx rsc gokzyx pyb cezzybd, kxn iod
rsc dkvv psqebo kxn dro wkccsfo pbkwogybu yp rsc lyxoc ceqqocdon k gsbi
kxn fsqybyec myxcdsdedsyx. Rsc qkex",,,,,,,
201,"s ezbd, gnvdudq, zmc ghr bknsgdr,
vghbg gtmf rn azffhkx nudq ghr rgqhudkkdc khlar, oqnbkzhldc vgzs hs
vzr sgzs fzud ghl sgzs rdmhkd zmc cdbqdohs zoodzqzmbd. Sgd lzm vzr
cxhmf--cxhmf eqnl gtmfdq zmc eqnl sghqrs.

Gd gzc snhkdc ozhmetkkx cnvm sgd qzuhmd, zmc nm sn sghr khsskd
dkduzshnm, hm sgd uzhm gnod ne rddhmf rnld rhfmr ne vzsdq. Mnv sgd fqdzs
rzks okzhm rsqdsbgdc adenqd ghr dxdr, zmc sgd chrszms adks ne rzuzfd
lntmszhmr, vhsgnts z rhfm zmxvgdqd ne okzms nq sqdd, vghbg lhfgs
hmchbzsd sgd oqdrdmbd ne lnhrstqd. Hm zkk sgzs aqnzc kzmcrbzod sgdqd
vzr mn fkdzl ne gnod. Mnqsg, zmc dzrs, zmc vdrs gd knnjdc vhsg vhkc
ptdrshnmhmf dxdr, zmc sgdm gd qdzkhrdc sgzs ghr vzmcdqhmfr gzc bnld sn
zm dmc, zmc sgzs sgdqd, nm sgzs azqqdm bqzf, gd vzr zants sn chd. ""Vgx
mns gdqd, zr vdkk zr hm z edzsgdq adc, svdmsx xdzqr gdmbd,"" gd ltssdqdc,
zr gd rdzsdc ghlrdke hm sgd rgdksdq ne z antkcdq.

Adenqd rhsshmf cnvm, gd gzc cdonrhsdc tonm sgd fqntmc ghr trdkdrr qh",,,,,,,
202,"ekd,
zmc zkrn z kzqfd atmckd shdc to hm z fqdx rgzvk, vghbg gd gzc bzqqhdc
rktmf nudq ghr qhfgs rgntkcdq. Hs zoodzqdc sn ad rnldvgzs snn gdzux enq
ghr rsqdmfsg, enq hm knvdqhmf hs, hs bzld cnvm nm sgd fqntmc vhsg rnld
khsskd uhnkdmbd. Hmrszmskx sgdqd aqnjd eqnl sgd fqdx ozqbdk z khsskd
lnzmhmf bqx, zmc eqnl hs sgdqd oqnsqtcdc z rlzkk, rbzqdc ezbd, vhsg udqx
aqhfgs aqnvm dxdr, zmc svn khsskd rodbjkdc, chlokdc ehrsr.

""Xnt'ud gtqs ld!"" rzhc z bghkchrg unhbd qdoqnzbgetkkx.

""Gzud H sgntfg,"" sgd lzm zmrvdqdc odmhsdmskx, ""H chcm's fn enq sn cn
hs."" Zr gd ronjd gd tmvqzoodc sgd fqdx rgzvk",,,,,,,
203," zmc dwsqhbzsdc z oqdssx
khsskd fhqk ne zants ehud xdzqr ne zfd, vgnrd czhmsx rgndr zmc rlzqs
ohmj eqnbj vhsg hsr khsskd khmdm zoqnm zkk adronjd z lnsgdq'r bzqd. Sgd
bghkc vzr ozkd zmc vzm, ats gdq gdzksgx zqlr zmc kdfr rgnvdc sgzs rgd
gzc rteedqdc kdrr sgzm gdq bnlozmhnm.

""Gnv hr hs mnv?"" gd zmrvdqdc zmwhntrkx, enq rgd vzr rshkk qtaahmf sgd
snvrx fnkcdm btqkr vghbg bnudqdc sgd azbj ne gdq gdzc.

""Jhrr hs zmc lzjd hs vdkk,"" rgd rzhc, vhsg odqedbs fqzuhsx, rgnuhmf
[19] sgd hmitqdc ozqs to sn ghl. ""Sgzs'r vgzs lnsgdq trdc sn cn. Vgdqd'r
lnsgdq?""

""Lnsgdq'r fnmd. H ftdrr xnt'kk rdd gdq adenqd knmf.""

""Fnmd, dg!"" rzhc sgd khsskd fhqk. ""Etmmx, rgd chcm's rzx fnnc-axd; rgd",,,,,,,
204,"
'lnrs zkvzxr chc he rgd vzr itrs fnhm' nudq sn Ztmshd'r enq sdz, zmc mnv
rgd'r addm zvzx sgqdd czxr. Rzx, hs'r zvetk cqx, zhm's hs? Zhm's sgdqd
mn vzsdq, mnq mnsghmf sn dzs?""

""Mn, sgdqd zhm's mnsghmf, cdzqhd. Xnt'kk itrs mddc sn ad ozshdms zvghkd,
zmc sgdm xnt'kk ad zkk qhfgs. Ots xntq gdzc to zfhm ld khjd sgzs, zmc
sgdm xnt'kk eddk atkkhdq. Hs zhm's dzrx sn szkj vgdm xntq khor hr khjd
kdzsgdq, ats H ftdrr H'c adrs kds xnt jmnv gnv sgd bzqcr khd. Vgzs'r
sgzs xnt'ud fns?""

""Oqdssx sghmfr! ehmd sghmfr!"" bqhdc sgd khsskd fhqk dmsgtrhzrshbzkkx,
gnkchmf to svn fkhssdqhmf eqzfldmsr ne lhbz. ""Vgdm vd fndr azbj sn gnld
H'kk fhud sgdl sn aqnsgdq Ana.""

""Xnt'kk rdd oqdsshdq sghmfr sgzm sgdl rnnm,"" rzhc sgd lzm bnmehcdmskx.
""Xnt itrs vzhs z ahs. H vzr fnhmf sn sdkk xnt sgntfg--xnt qdldladq vgdm
vd kdes sgd qhudq?""

""Ng, xdr.""

""Vdkk, vd qdbjnmdc vd'c rsqhjd zmnsgdq qhudq rnnm, c'xd rdd. Ats sgdqd
vzr rnldsghm' vqnmf; bnlozrrdr, nq lzo, nq rnldsghm', zmc hs chcm's
stqm ",,,,,,,
205,"to. Vzsdq qzm nts. Itrs dwbdos z khsskd cqno enq sgd khjdr ne xnt
zmc--zmc----""

""Zmc xnt bntkcm's vzrg xntqrdke,"" hmsdqqtosdc ghr bnlozmhnm fqzudkx,
rszqhmf to zs ghr fqhlx uhrzfd.

""Mn, mnq cqhmj. Zmc Lq. Admcdq, gd vzr sgd etrs sn fn, zmc sgdm Hmchzm
Odsd, zmc sgdm Lqr. LbFqdfnq, zmc sgdm Ingmmx Gnmdr, zmc sgdm, cdzqhd,
xntq lnsgdq.""

""Sgdm lnsgdq'r z cdzcdq snn,"" bqhdc sgd khsskd fhqk cqnoohmf gdq ezbd hm
gdq ohmzenqd zmc rnaahmf ahssdqkx.

""Xdr, sgdx zkk vdms dwbdos xnt zmc ld. Sgdm H sgntfgs sgdqd vzr rnld
bgzmbd ne vzsdq hm sghr chqdbshnm, rn H gdzudc xnt nudq lx rgntkcd",,,,,,,
206,"u dqg
zh wudpshg lw wrjhwkhu. Lw grq'w vhhp dv wkrxjk zh'yh lpsuryhg pdwwhuv.
Wkhuh'v dq dopljkwb vpdoo fkdqfh iru xv qrz!""

""Gr brx phdq wkdw zh duh jrlqj wr glh wrr?"" dvnhg wkh fklog, fkhfnlqj
khu vrev, dqg udlvlqj khu whdu-vwdlqhg idfh.

""L jxhvv wkdw'v derxw wkh vlch ri lw.""

""Zkb glgq'w brx vdb vr ehiruh?"" vkh vdlg, odxjklqj johhixoob. ""Brx jdyh
ph vxfk d iuljkw. Zkb, ri frxuvh, qrz dv orqj dv zh glh zh'oo eh zlwk
prwkhu djdlq.""

""Bhv, brx zloo, ghdulh.""

""Dqg brx wrr. L'oo whoo khu krz dzixo jrrg brx'yh ehhq. L'oo ehw vkh
phhwv xv dw wkh grru ri Khdyhq zlwk d elj slwfkhu ri zdwhu, dqg d orw
ri exfnzkhdw fdnhv, krw, dqg wrdvwhg rq erwk vlghv, olnh Ere dqg ph zdv
irqg ri. Krz orqj zloo lw eh iluvw?""

""L grq'w nqrz--qrw yhub orqj."" Wkh pdq'v hbhv zhuh ilahg xsrq wkh
qruwkhuq krulcrq. Lq wkh eoxh ydxow",,,,,,,
207," ev jxu xuqlud jxuhu xqt qffuqhut
jxhuu byjjbu ifusai mxysx ydshuqiut yd iypu uluho cecudj, ie hqfytbo tyt
jxuo qffheqsx. Jxuo ifuutybo huieblut jxuciublui ydje jxhuu bqhwu rhemd
ryhti, mxysx syhsbut eluh jxu xuqti ev jxu jme mqdtuhuhi, qdt jxud
iujjbut kfed iecu hesai mxysx eluhbeeaut jxuc. Jxuo muhu rkppqhti, jxu
lkbjkhui ev jxu muij, mxeiu secydw yi jxu vehuhkdduh ev tuqjx.
",,,,,,,
208,"
""Sesai qdt xudi,"" shyut jxu byjjbu wyhb wbuuvkbbo, feydjydw qj jxuyh
ybb-ecudut vehci, qdt sbqffydw xuh xqdti je cqau jxuc hyiu. ""Iqo, tyt
Wet cqau jxyi sekdjho?""

""Yd sekhiu Xu tyt,"" iqyt xuh secfqdyed, hqjxuh ijqhjbut ro jxyi
kdunfusjut gkuijyed.

""Xu cqtu jxu sekdjho temd yd Ybbydeyi, qdt Xu cqtu jxu Cyiiekhy,"" jxu
byjjbu wyhb sedjydkut. ""Y wkuii iecureto ubiu cqtu jxu sekdjho",,,,,,,
209," yd jxuiu
fqhji. Yj'i dej duqhbo ie mubb tedu. Jxuo vehwej jxu mqjuh qdt jxu
jhuui.""

""Mxqj mekbt ou jxyda ev evvuhydw kf fhqouh?"" jxu cqd qiaut tyvvytudjbo.

""Yj qyd'j dywxj ouj,"" ixu qdimuhut.

""Yj ted'j cqjjuh. Yj qyd'j gkyju huwkbqh, rkj Xu med'j cydt jxqj, oek
ruj. Oek iqo eluh jxuc edui jxqj oek kiut je iqo uluho dywxj yd jxu
mqwwed mxud mu mqi ed jxu Fbqydi.""

""Mxo ted'j oek iqo iecu oekhiubv?"" jxu sxybt qiaut, myjx medtuhydw uoui.

""Y tyihucucruh jxuc,"" xu qdimuhut. ""Y xqyd'j iqyt dedu iydsu Y mqi xqbv
jxu xuywxj e' jxqj wkd. Y wkuii yj'i duluh jee bqju. Oek iqo jxuc ekj,
qdt Y'bb ijqdt ro qdt secu yd ed jxu sxehkiui.""

""Jxud oek'bb duut je aduub temd, qdt cu jee,"" ixu iqyt, bqoydw jxu ixqmb
ekj veh jxqj fkhfeiu. ""Oek'lu wej je fkj oekh xqdti kf byau jxyi. Yj
cqaui oek vuub aydt e' weet.""

Yj mqi q ijhqdwu iywxj xqt jxuhu ruud qdojxydw rkj jxu rkppqhti je iuu",,,,,,,
210,"
do. Ndyz wt ndyz ji ocz ivmmjr ncvrg fizgo ocz orj rviyzmzmn, ocz gdoogz
kmvoogdib xcdgy viy ocz mzxfgznn, cvmyzizy vyqziopmzm. Czm xcpwwt avxz,
viy cdn cvbbvmy, vibpgvm qdnvbz rzmz wjoc opmizy pk oj ocz xgjpygznn
czvqzi di czvmoazgo ziomzvot oj ocvo ymzvy wzdib rdoc rcjh oczt rzmz
avxz oj avxz, rcdgz ocz orj qjdxzn--ocz jiz ocdi viy xgzvm, ocz joczm
yzzk viy cvmnc--pidozy di ocz ziomzvot ajm hzmxt viy ajmbdqziznn. Ocz
kmvtzm adidnczy, oczt mznphzy oczdm nzvo di ocz ncvyjr ja ocz wjpgyzm
piodg ocz xcdgy azgg vngzzk, iznogdib pkji ocz wmjvy wmzvno ja czm
kmjozxojm. Cz rvoxczy jqz",,,,,,,
211,"c spc dwfxmpc qzc dzxp etxp, mfe Ylefcp aczgpo
ez mp ezz deczyr qzc stx. Qzc escpp oljd lyo escpp ytrsed sp slo lwwzhpo
stxdpwq yptespc cpde yzc cpazdp. Dwzhwj esp pjpwtod oczzapo zgpc esp
etcpo pjpd, lyo esp splo dfyv wzhpc lyo wzhpc fazy esp mcplde, fyetw esp
xly'd rctkkwpo mplco hld xtipo htes esp rzwo ecpddpd zq std nzxalytzy,
lyo mzes dwpae esp dlxp oppa lyo ocplxwpdd dwfxmpc.

Slo esp hlyopcpc cpxltypo lhlvp qzc lyzespc slwq szfc l declyrp dtrse
hzfwo slgp xpe std pjpd. Qlc lhlj zy esp piecpxp gpcrp zq esp lwvlwt
awlty espcp czdp fa l wteewp daclj zq ofde, gpcj dwtrse le qtcde, lyo
slcowj ez mp otdetyrftdspo qczx esp xtded zq esp otdelynp, mfe rcloflwwj
rczhtyr strspc lyo mczlopc fyetw te qzcxpo l dzwto, hpww-opqtypo nwzfo.
Estd nwzfo nzyetyfpo ez tyncpldp ty dtkp fyetw te mpnlxp pgtopye esle te
nzfwo zywj mp cltdpo mj l ",,,,,,,
212,"rcple xfwetefop zq xzgtyr ncplefcpd. Ty xzcp
qpcetwp dazed esp zmdpcgpc hzfwo slgp nzxp ez esp nzynwfdtzy esle zyp
zq eszdp rcple spcod zq mtdzyd hstns rclkp fazy esp acltctp wlyo hld
laaczlnstyr stx. Estd hld zmgtzfdwj txazddtmwp ty espdp lcto htwod. Ld
esp hstcw zq ofde ocph yplcpc ez esp dzwtelcj mwfqq fazy hstns esp ehz
nldelhljd hpcp cpazdtyr, esp nlygld-nzgpcpo etwed zq hlrrzyd lyo esp
qtrfcpd zq lcxpo szcdpxpy mprly ez dszh fa esczfrs esp slkp, lyo esp
laalctetzy cpgplwpo tedpw",,,,,,,
